Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,Identifier,Research Category,preset_Disease_Covid,preset_Disease_Dengue,preset_Disease_Mpox,preset_Disease_H5Nx,preset_Score_CharlsonCI,preset_Score_SOFA
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_palpitations,radio,Palpitations,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Cardiorespiratory,Refers to the unpleasant awareness of one's own heartbeat.,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,"80313002, Palpitations (finding)",,,clinical_features,,,,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_sorethroat,radio,Sore throat,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Pulmonary,"Defined as an unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) and perceived to originate in the throat.","Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,"267102003, Sore throat","C3854544, Sore throat",,clinical_features,,,1,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_rhinorrhoe,radio,Runny nose / rhinorrhoea,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Pulmonary,Defined as increased mucosal discharge of the nose.,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,"64531003, Nasal Discharge","C1260880, Rhinorrhea",,clinical_features,,,,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_wheezing,radio,Wheezing,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Pulmonary,Defined as a high-pitched breath sound resulting from a narrowing or obstruction of the small airway.,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,"56018004, Wheezing","C0043144, Wheezing",,clinical_features,,,,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_shortbreat,radio,Shortness of breath ,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Pulmonary,Defined as the uncomfortable sensation of difficult or laboured breathing that is out of proportion to the patient's level of physical activity.,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,"267036007, Dyspn","C4230442, Dyspnea",,clinical_features,,,1,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_chestindrw,radio,Lower chest wall indrawing,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Pulmonary,"Defined as a clinical sign of respiratory distress, distinguished by the abnormal inward movement of the lower chest wall during inspiration. If only the soft tissue between the ribs or above the clavicle goes in when the patient breathes, this is not lower chest wall in-drawing.","Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,"67909005, Chest wall retraction","C0231906, Chest wall retraction",,clinical_features,,,,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_phary,radio,Pharyngitis / tonsillitis,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Pulmonary,"This refers to pain in the throat, typically in the presence of inflammation of the throat (pharynx) and/or tonsils.","Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,"405737000, Pharyngitis | 281795003, Inflamed tonsils",,,clinical_features,,,,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_chestpain,radio,Chest pain,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Pulmonary,"Defined as the unpleasant, uncomfortable or painful sensation characterised by physical discomfort localised to the chest.","Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,"29857009, Chest pain","C3807341, Chest pain",,clinical_features,,,1,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_abdpain,radio,Abdominal pain,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Gastrointestinal,"Defined as an unpleasant sensation of discomfort, distress or agony in the abdominal region.","Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,"21522001, Abdominal pain","C3553274, Abdominal pain",,clinical_features,,,1,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_diarrhoea,radio,Diarrhoea,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Gastrointestinal,Defined as three or more loose or liquid bowel movement per day (or more frequent passage than is normal for the individual).,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,"62315008, Diarrhea","C3554472, Diarrhea",,clinical_features,,,1,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_consti,radio,Constipation,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Gastrointestinal,This refers to irregular and infrequent or difficult evacuation of the bowels.,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,"14760008, Constipation","C3551741, Constipation",,clinical_features,,,1,,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_vomit,radio,Vomiting,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Gastrointestinal,Defined as the expulsion of the stomach or small intestines through the mouth.,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,"422400008, Vomiting","C4230730, Vomiting",,clinical_features,,,1,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_vomit2d,radio,Persistent vomiting? (>=2/day),"1, Yes | 0, No | 99, Unknown",,,,,[sympt_vomit]='1',Gastrointestinal,Persistent vomiting is defined here as vomiting two times or more per day.,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,"196746003, Persistent vomiting","C0152165, Persistent vomiting",,clinical_features,,,1,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_nausea,radio,Nausea,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Gastrointestinal,Defined as the the unpleasant painless subjective feeling that one will imminently vomit.,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,"422587007, Nausea","C3554470, Nausea",,clinical_features,,,1,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_anorexia,radio,Anorexia,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Gastrointestinal,Defined as lack or loss of appetite.,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,"79890006, Loss of appetite","C3554473, Anorexia",,clinical_features,,,,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_exsal,radio,Excessive salivation,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Gastrointestinal,Excessive salivation or sialorrhea is a symptom best assessed by the patient.,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,53827007 | Excessive salivation (disorder) |,"C0037036, Sialorrhea",,clinical_features,,,1,,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_diffswallow,radio,Difficulty swallowing / dysphagia,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Gastrointestinal,"Defined as difficulty swallowing food, liquids, or saliva.","Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,"40739000, Dysphagia (disorder)","C0011168, Deglutition Disorders",,clinical_features,,,1,,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_urine,radio,Urinary retention,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Genitourinary,Defined as the accumulation of urine within the bladder because of the inability to urinate.,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,"267064002, Retention of urine","C0080274, Urinary retention",,clinical_features,,,1,,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_dyspareunia,radio,Dyspareunia,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Genitourinary,Defined as recurrent or persistent genital pain associated with sexual intercourse.,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,"71315007, Dyspareunia (finding)","C1384606, Dyspareunia",,clinical_features,,,1,,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_haemorrhag_yn,radio,Bleeding / haemorrhage,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Haematology,"Defined as the presence of blood in a location in which it is not physiologically normal or loss of blood from the circulation, either internally or externally. This can include epistaxis (blood from nose), gingival bleeding (blood from gums/gingiva), blood from any part of the gastrointestinal tract (gastrointestinal bleeding) or genitourinary tracts (vagina or urethra) including hematuria. ","Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,"131148009, Bleeding","C3163616, Blood loss",,clinical_features,,1,1,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_haemorrhag_sev,radio,Severe bleeding / haemorrhage (requires intervention),"1, Yes | 0, No | 99, Unknown",,,,,[sympt_haemorrhag_yn]='1',Haematology,Defined as the severe bleeding / hemorrhage requiring medical intervention for hemostasis and/or hemodynamic support.,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",,,,,clinical_features,,1,1,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_haemorrhag_site,checkbox,Specify bleeding / haemorrhage site(s),"1, Skin | 7, Petechiae | 2, Nose | 3, Gums | 4, GI tract | 5, Urinary tract | 6, Vagina | 88, Other(s) | 99, Unknown",,,,,[sympt_haemorrhag_yn] = '1',Haematology,"This refers to the location of bleeding/haemorrhage site(s). Petechiae refer to small reddish or purplish spots in skin or mucous membrane as a result of localised haemorrhage. Nose bleeding refers to haemorrhage localized in the nose. Gum bleeding refers to haemorrhage affecting the gingiva. Gastrointestinal (GI) bleeding refers to haemorrhage in any segment of the gastrointestinal tract from oesophagus to rectum. Urinary tract bleeding refers to haemorrhage originating from any part of the urinary system. Vaginal bleeding refers to haemorrhage originating from vagina, unrelated to normal menstruation.",Select the most appropriate option(s) corresponding to the location of bleeding/haemorrhage site(s).,SNOMED,"297968009, Bleeding skin | 271813007 Petechiae |249366005, Bleeding from nose | 86276007, Bleeding gums | 74474003, Gastrointestinal haemorrhage |34436003, blood in urine | 289530006, Bleeding from vagina","C0574741, Bleeding skin | C3808808, Epistaxis | C0017565, Gingival haemorrrhage | C0017181, Gastrointestinal haemorrhage |C3805433, haematuria | C0566961, Fresh bleeding from vagina",,clinical_features,,1,1,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_haemorrhag_other,text,Specify other bleeding / haemorrhage site(s),,,,,,[sympt_haemorrhag_site(88)]='1',Haematology,This refers to the location of bleeding/haemorrhage site(s).,"If 'Other', write the location of bleeding/haemorrhage site(s).",,,,,clinical_features,,1,1,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_jaund,radio,Jaundice,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Hepatobiliary,"Defined as a clinical manifestation of hyperbilirubinemia, characterized by the yellowish staining of the skin, mucous membrane and/or sclera. ","Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,"18165001, Jaundice","C3549846, Jaundice",,clinical_features,,,1,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_headache,radio,Headache,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Nervous system,"Defined as the experience of pain in various parts of the head, not confined to the area of distribution of any nerve.","Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,"25064002, Headache","C0018681, Headache",,clinical_features,,,1,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_neckstiff,radio,Neck stiffness,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Nervous system,"Defined as a sensation of tightness in the neck when attempting to move it, especially after a period of inactivity. Neck stiffness often involves soreness and difficulty moving the neck, especially when trying to turn the head to the side.","Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,161882006 | Stiff neck (finding) |,"C0151315, Neck Stiffness",,clinical_features,,,,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_seizconv,radio,Seizures / convulsions,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Nervous system,"Defined as an intermittent abnormality of nervous system physiology characterised by a transient occurrence of sudden, violent, irregular movement of the body, caused by involuntary contraction of muscles due to abnormal excessive or synchronous neuronal activity in the brain.","Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,"91175000, Seizure","C2748942, Seizure",,clinical_features,,,1,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_confusion,radio,Altered consciousness / confusion,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Nervous system,Defined as a level of awareness or arousal other than the patient's normal baseline.,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,"443371007, Decreased level of consciousness","C0150450, Altered level of consciousness",,clinical_features,,,1,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_neurodist,radio,Psychological disturbance,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Nervous system,"This refers to the presence of signs or symptoms that affect an individual's thoughts, emotions, behaviours or mental well-being. The presence of psychological disturbances should be identified through a Mental Status Examination (MSE) or equivalent tool.","Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,"81659004, Psychological sign or symptom","C0233395, Psychological sign or symptom",,clinical_features,,,1,,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_ocular,radio,Ocular complaints,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Ocular,"This refers to issues or problems that arise in the eye or its related structures. It includes complaints of a red and or itchy eye, or visual disturbance.","Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,308923001 |Eye symptom (finding)|,"C0586406, Eye symptom",,clinical_features,,,1,,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_ocularspec,checkbox,Specify ocular complaints,"1, Red eye(s) | 2, Itchy eye(s)| 3, Eye pain | 4, Visual disturbance | 88, Other",,,,,[sympt_ocular]='1',Ocular,"This refers to issues or problems that arise in the eye or its related structures. Red eye refers to any condition with dilated conjunctival or ciliary blood vessels, typical of irritation and infection. Itchy eye or ocular pruritis refers a sensation that makes a person want to scratch, in this case abnormally increased sensation of itching is in the region of the eye. Eye pain refers to an unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to the eye. Visual disturbance refers to an interference to normal eyesight without necessarily affecting visual acuity.",Select the most appropriate option(s) corresponding to the ocular complaint(s).,SNOMED,"1, 703630003, Red eye| 2,  74776002, Itching of eye|3, 41652007, Pain in eye| 4,  63102001, Visual distrubance|","1, CL473769, Red eye| 2, C0022281, Itching of eye| 3, C0151827 Eye pain| 4, C0547030, Visual distrubance|",,clinical_features,,,1,,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_ocularoth,text,Specify other ocular complaint,,,,,,[sympt_ocularspec(88)]='1',Ocular,This refers to other ocular complaint(s) not specified above.,"If 'Other', write the ocular complaints.",,,,,clinical_features,,,1,,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_itchyeye,radio,Itching of eye,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Ocular,Defined as itching of one or both eyes.,"Indicate 'Yes', if the patient has experienced another neurological abnormality not listed above, between the hours of 00:00 to 24:00 on day of assessment.",SNOMED,"74776002, Has an itchy eye",,,,,,,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_redeye,radio,Red / Pink eye,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Ocular,"Defined as inflammation or infection of the conjunctiva, characterized by redness in one or both eyes.","Indicate 'Yes', if the patient has experienced another neurological abnormality not listed above, between the hours of 00:00 to 24:00 on day of assessment.",SNOMED,"703630003, Red eye",,,,,,,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_conjunhemor,radio,Conjunctival haemorrhage,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Ocular,"Defined as the accumulation of blood underneath the conjunctiva, presenting as a bright red or dark patch in the eye.","Indicate 'Yes', if the patient has experienced another neurological abnormality not listed above, between the hours of 00:00 to 24:00 on day of assessment.",SNOMED,"21117005, Conjunctival hemorrhage",,,,,,,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_paineyes,radio,Pain in eye,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Ocular,Defined as discomfort or aching localized within or around the eye area.,"Indicate 'Yes', if the patient has experienced another neurological abnormality not listed above, between the hours of 00:00 to 24:00 on day of assessment.",SNOMED,"41652007, Pain in eye",,,,,,,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_eyelidedema,radio,Edema of eyelid,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Ocular,Defined as swelling due to fluid accumulation in the tissues of the eyelid.,"Indicate 'Yes', if the patient has experienced another neurological abnormality not listed above, between the hours of 00:00 to 24:00 on day of assessment.",SNOMED,"89091004, Edema of eyelid",,,,,,,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_eyedischarg,radio,Discharge from eye,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Ocular,"Defined as the release of fluids ranging from clear to pus-like from the eye, often indicative of infection or irritation.","Indicate 'Yes', if the patient has experienced another neurological abnormality not listed above, between the hours of 00:00 to 24:00 on day of assessment.",SNOMED,"246679005, Discharge from eye",,,,,,,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_hazyvision,radio,Hazy / Blurred vision,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Ocular,"Defined as a loss of visual acuity, resulting in unclear or distorted sight.","Indicate 'Yes', if the patient has experienced another neurological abnormality not listed above, between the hours of 00:00 to 24:00 on day of assessment.",SNOMED,"246636008, Hazy vision",,,,,,,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_eyelightsensi,radio,Sensitivity of eye to light,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Ocular,"Defined as an abnormal intolerance to light, causing discomfort or pain in the eyes when exposed to bright light.","Indicate 'Yes', if the patient has experienced another neurological abnormality not listed above, between the hours of 00:00 to 24:00 on day of assessment.",SNOMED,"1285284009, Sensitivity of eye to light",,,,,,,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_newvision,radio,Newly reduced visual acuity,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Ocular,Defined as decreased clarity or sharpness of vision.,"Indicate 'Yes', if the patient has experienced another neurological abnormality not listed above, between the hours of 00:00 to 24:00 on day of assessment.",SNOMED,"13164000, Reduced visual acuity",,,clinical_features,,,,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_mastitis,radio,Mastitis,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',Breast,"Defined as a inflammation of the breast, with or without accompanying infection","Indicate 'Yes', if the patient experienced this at any time during the date of assessment.",SNOMED,"82789004, Acute mastitis",,,clinical_features,,,,1,,
daily,SIGNS AND SYMPTOMS: Indicate if experienced between 00:00 to 24:00 on day of assessment.,sympt_unlisted,list,Other sign(s) or symptom(s),"1, Yes | 0, No | 99, Unknown",,,,conditions_Symptoms,[daily_datasympt]='1',Other,This refers the presence of an alternative sign(s) or symptom(s) not listed above.,"Indicate 'Yes', if the patient has experienced another sign or symptom not listed above between 00:00 to 24:00 on day of assessment.",,,,,clinical_features,,,1,1,,
daily,SKIN & MUCOSA ASSESSMENT: Record the information furthest from normal between 00:00 to 24:00 on day of assessment.,daily_datalesion,radio,Enter Skin and Mucosa Assessment data for this date?,"1, Yes | 0, No",,,,,,,The following questions pertain to clinical inspection of skin lesions. Data recorded in this section should detail the conditions present on the date of assessment. This section should be completed for date of admission and any subsequent day as per the local protocol.,"Indicate 'Yes', to enter information pertaining to clinical inspection of skin lesions on the day of assessment. ",,,,,clinical_features,,,1,,,
daily,SKIN & MUCOSA ASSESSMENT: Record the information furthest from normal between 00:00 to 24:00 on day of assessment.,lesion_rash,radio,Site where rash first occurred,"1, Genital skin | 2, Non-genital skin | 3, Mouth | 4, Unknown| 88, Other",,,,,[daily_datalesion]='1',Skin,This refers to the location where the rash first occurred. ,Select the most appropriate option(s) corresponding to the location where the rash first occurred.,,,,,,,,1,,,
daily,SKIN & MUCOSA ASSESSMENT: Record the information furthest from normal between 00:00 to 24:00 on day of assessment.,lesion_rashoth,text,Specify first rash other location,,,,,,[lesion_rash]='88',Skin,This refers to the location where the rash first occurred. ,"If ""other', Specify the first location a relevant rash developed.",,,,,,,,1,,,
daily,SKIN & MUCOSA ASSESSMENT: Record the information furthest from normal between 00:00 to 24:00 on day of assessment.,lesion_rashdate,date_dmy,Date first rash was observed by patient,,date_dmy,,today,,[daily_datalesion]='1',Skin,This refers to the date the patient reports to have first identified the rash. ,Write the date the patient reports to have first identified the rash (use the format DD/MM/YYYY).,,,,,,,,1,,,
daily,SKIN & MUCOSA ASSESSMENT: Record the information furthest from normal between 00:00 to 24:00 on day of assessment.,lesion_dist,radio,Rash distribution,"1, Generalised | 2, Localised around the genitals | 3, Centrifugal-more on the extremities | 4, Centripetal-more on the trunk | 88, Other distribution | 99, Unknown distribution",,,,,[daily_datalesion]='1',Skin,"This refers to the pattern of distribution of the skin rash. Generalised rash refers to a widespread rash covering the entire surface of the skin. Centrifugal rash is concentrated on the distal extremities, with fewer lesions on the trunk. Centripetal rash is concentrated on the trunk, with fewer lesions on the extremities. Localised around the genitals refers to a rash concentrated around the skin on the genitals. ",Select the most appropriate pattern of distribution of the skin rash on the day of assessment. ,,,,,,,,1,,,
daily,SKIN & MUCOSA ASSESSMENT: Record the information furthest from normal between 00:00 to 24:00 on day of assessment.,lesion_distoth,text,Specify other rash distribution,,,,,,[lesion_dist]='88',Skin,This refers to the pattern of distribution of the skin rash. ,"If 'Other', write the pattern of distribution of the skin rash on the day of assessment. ",,,,,,,,1,,,
daily,SKIN & MUCOSA ASSESSMENT: Record the information furthest from normal between 00:00 to 24:00 on day of assessment.,lesion_morph,radio,Rash morphology,"1, Mostly discrete lesions | 2, Semi-confluent lesions | 3, Confluent lesions | 4, Mixed morphology | 99, Unknown",,,,,[daily_datalesion]='1',Skin,"This refers to the predominant morphology of the skin rash. Discrete lesions refer to separate, distinct lesions that are not joined to one another. Confluent lesions refer to lesions that are joining or running together.",Select the most appropriate morphology of the skin rash on the day of assessment. ,,,,,,,,1,,,
daily,SKIN & MUCOSA ASSESSMENT: Record the information furthest from normal between 00:00 to 24:00 on day of assessment.,lesion_morphsize,radio,Rash size (skin) - widest diameter of any lesion,"1, Less than 0.5cm | 2, 0.5-0.99cm | 3, 1-1.99cm | 4, 2+ cm",,,,,[daily_datalesion]='1',Skin,"This refers to the size of the skin rash, recorded as the widest diameter of any lesion in centimetres (cm).",Indicate the widest diameter of any skin lesion measured in centimetres (cm) on the day of assessment.,,,,,,,,1,,,
daily,SKIN & MUCOSA ASSESSMENT: Record the information furthest from normal between 00:00 to 24:00 on day of assessment.,lesion_skinles,radio,Current skin lesion status,"1, There are active skin lesions | 2, There are skin lesions and none of them are active (lesions in the process of healing & resolving, including scabbed lesions) | 3, All skin lesions have completely resolved (all scabs have fallen off with intact skin) | 4, No skin lesions have developed to date",,,,,[daily_datalesion]='1',Skin,"This refers to the status of the skin lesions. Active skin lesions refer to macules (flat lesions), papules (raised lesions), vesicles (raised and filled with clear fluid) or pustules (raised and filed with pus, an opaque fluid) which can develop a depression in the centre (umbilication) or ulcerate. Skin lesions which are not active refer to those which have begun to crust (dry) over, in the process of healing & resolving, to form scabs (consisting of dried serum, blood, or pus). Skin lesions which have completely resolved refer to all scabs having fallen off, leaving intact underlying skin. ",Indicate the most appropriate dermatological status of the skin lesions on the day of assessment. ,,,,,,,,1,,,
daily,SKIN & MUCOSA ASSESSMENT: Record the information furthest from normal between 00:00 to 24:00 on day of assessment.,lesion_res,radio,Is there residual evidence of resolved skin lesions (scar/discolouration)?,"1, Yes | 0, No | 99, Unknown",,,,,[lesion_skinles]='2' or [lesion_skinles]='3' or [lesion_skinles]='4',,This refers to the presence of sequalae secondary to resolved or resolving skin lesions i.e. lesions that are no longer active (including scabbed lesions and lesions where all scabs have fallen off with intact skin). This can include scars or discoloration.,"Indicate 'Yes', if there is residual evidence of resolved skin lesions on the day of assessment.",,,,,,,,1,,,
daily,SKIN & MUCOSA ASSESSMENT: Record the information furthest from normal between 00:00 to 24:00 on day of assessment.,lesion_mucos,radio,Current mucosal lesion status,"1, There are mucosal lesions | 2, There is a history of mucosal lesions but none at present (all have resolved and mucosa is healed) | 3, No mucosal lesions have developed to date",,,,,[daily_datalesion]='1',,"This refers to the presence of mucosal membrane involvement. It includes the lining of the digestive tract, respiratory tract and genitourinary tract.",Select the single most appropriate option that represents the extent of mucosal involvement between 00:00 to 24:00 on day of assessment.,,,,,,,,1,,,
daily,SKIN & MUCOSA ASSESSMENT: Record the information furthest from normal between 00:00 to 24:00 on day of assessment.,lesion_orophar,radio,If there are mucosal lesions: Persistent symptoms or signs of mucosal oropharyngeal lesions,"1, Yes | 0, No | 99, Unknown",,,,,[lesion_mucos]='1',,"This refers to the presence of mucosal membrane involvement in the oropharyngeal cavity, as evidenced by active mucosal lesions, erythema, inflammatory changes. Symptoms may include sore throat, painful ulcerations, painful or difficult swallowing.","Indicate 'Yes', if the patient had symptoms of mucosal oropharyngeal lesions between 00:00 to 24:00 on day of assessment.",,,,,,,,1,,,
