Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,preset_Disease_Core,preset_Disease_Covid,preset_Disease_Dengue,preset_Disease_Degnuenew,preset_Disease_Degnuegreen,preset_Disease_Degnueyellow,preset_Disease_Mpox,preset_Disease_Nipah,preset_Disease_Nigeria_Mpox,preset_Syndrome_Generic,preset_Syndrome_Influenza-like,preset_Syndrome_Neurologic,preset_Syndrome_Gastro,preset_Score_CharlsonCI,preset_Score_4C,preset_Score_SOFA,preset_Score_qSOFA,preset_Score_CURB65,preset_Score_SMARTCOP,preset_Score_APACHEII,preset_Score_NEWS,preset_Score_MPOXSSS,preset_Score_SF94,preset_Score_HospitalRecoveryScale,preset_Score_DengueWS,preset_WHOSchema_Day0,GHDay0,COMMENTS
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_lymphocyte,,Lymphocytes (select units),,,,,,[daily_datalab]='1',Full Blood Count,,,SNOMED,1027691000000105 | Leucocyte count (observable entity) |,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_lymphocyte_109l,number,Lymphocytes (10^9/L),,number,0,1000,,[daily_datalab]='1',Full Blood Count,Lymphocyte count.,Write the Lymphocyte count (10^9/L).,SNOMED,1022581000000105 | Lymphocyte count (observable entity) |,,1,1,1,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_lymphocyte_106l,number,Lymphocytes (10^6/L),,number,0,3300,,[daily_datalab]='1',Full Blood Count,,Write the Lymphocyte count (10^6/L).,SNOMED,1022581000000105 | Lymphocyte count (observable entity) |,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_lymphocyte_cellsu,number,Lymphocytes (cells/uL),,number,0,100000,,[daily_datalab]='1',Full Blood Count,,Write the Lymphocyte count (cells/uL).,SNOMED,1022581000000105 | Lymphocyte count (observable entity) |,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_lymphocyte_103ul,number,Lymphocytes (10^3/uL),,number,0,1000,,[daily_datalab]='1',Full Blood Count,,Write the Lymphocyte count (10^3/uL).,SNOMED,1022581000000105 | Lymphocyte count (observable entity) |,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_lymphocyte_pcnt,number,Lymphocytes (%),,number,,,,[daily_datalab]='1',Full Blood Count,Lymphocyte count.,Write the Lymphocyte count (%).,SNOMED,1015481000000107 | Percentage lymphocytes (observable entity) |,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_neutrophil,,Neutrophils (select units),,,,,,[daily_datalab]='1',Full Blood Count,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_neutrophil_109l,number,Neutrophils (10^9/L),,number,0,100,,[daily_datalab]='1',Full Blood Count,Neutrophil count.,Write the Neutrophil count (10^9/L). ,SNOMED,1022551000000104 | Neutrophil count (observable entity) |,,1,1,1,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_neutrophil_106l,number,Neutrophils (10^6/L),,number,0,100000,,[daily_datalab]='1',Full Blood Count,,Write the Neutrophil count (10^6/L). ,SNOMED,1022551000000104 | Neutrophil count (observable entity) |,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_neutrophil_cellsu,number,Neutrophils (cells/uL),,number,0,100000,,[daily_datalab]='1',Full Blood Count,,Write the Neutrophil count (cells/uL). ,SNOMED,1022551000000104 | Neutrophil count (observable entity) |,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_neutrophil_103ul,number,Neutrophils (10^3/uL),,number,0,100,,[daily_datalab]='1',Full Blood Count,,Write the Neutrophil count (10^3/uL). ,SNOMED,1022551000000104 | Neutrophil count (observable entity) |,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_neutrophil_pcnt,number,Neutrophils (%),,number,,,,[daily_datalab]='1',Full Blood Count,Neutrophil count.,Write the Neutrophil count (%).,SNOMED,1015471000000105 | Percentage neutrophils (observable entity) |,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_hematocrit,,Hematocrit (select units),,,,,,[daily_datalab]='1',Full Blood Count,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_hematocrit_pcnt,number,Hematocrit (%),,number,0,61,,[daily_datalab]='1',Full Blood Count,"Haematocrit (Ht or HCT), also known as packed cell volume (PCV) or erythrocyte volume fraction (EVF), is the volume percentage (%) of red blood cells in blood.",Write the hematocrit (%).,SNOMED,1022291000000105 | Haematocrit (observable entity) |,,1,1,1,1,1,,1,1,1,,1,1,,,,,,,,1,,,,,1,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_hematocrit_frac,number,Hematocrit (fraction of 1),,number,0,0.61,,[daily_datalab]='1',Full Blood Count,,Write the hematocrit (fraction of 1).,SNOMED,1022291000000105 | Haematocrit (observable entity) |,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_hematocrit_ll,number,Hematocrit (L/L),,number,0,0.61,,[daily_datalab]='1',Full Blood Count,"Haematocrit (Ht or HCT), also known as packed cell volume (PCV) or erythrocyte volume fraction (EVF), is the volume percentage (%) of red blood cells in blood.",Write the hematocrit (L/L).,SNOMED,1022291000000105 | Haematocrit (observable entity) |,,,,1,1,1,,,1,,,,,,,,,,,,1,,,,,1,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_platelets,,Platelets (select units),,,,,,[daily_datalab]='1',Full Blood Count,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_platelets_109l,number,Platelets (10^9/L),,number,0,1659,,[daily_datalab]='1',Full Blood Count,Platelet count.,Write the Platelet count (10^9/L).,SNOMED,1022651000000100 | Platelet count (observable entity) |,,1,1,1,1,1,,1,1,1,1,1,1,,,,1,,,,,,,,,1,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_platelets_106l,number,Platelets (10^6/L),,number,0,1659000,,[daily_datalab]='1',Full Blood Count,,Write the Platelet count (10^6/L).,SNOMED,1022651000000100 | Platelet count (observable entity) |,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_platelets_103ul,number,Platelets (10^3/uL),,number,0,1659,,[daily_datalab]='1',Full Blood Count,,Write the Platelet count (10^3/L).,SNOMED,1022651000000100 | Platelet count (observable entity) |,,,,,,,,,1,,1,,,,,,1,,,,,,,,,1,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_aptt,number,Activated Partial Thromboplastin Time/APTT (sec),,number,20,300,,[daily_datalab]='1',Coagulation,"Activated partial thromboplastin time (APTT), measured in seconds.",Write the APTT (seconds).,SNOMED,852511000000103 | Activated partial thromboplastin time (observable entity) |,,1,1,1,1,1,,,1,,,1,1,,,,,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_aptr,number,APTR,,number,,,,[daily_datalab]='1',Coagulation,APTR is the activated partial thromboplastin ratio. The result is a ratio and therefore has no units.,,SNOMED,1001421000000107 | Activated partial thromboplastin time ratio (observable entity) |,,1,1,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_prothrombin,,Prothrombin Time/PT (select units),,,,,,[daily_datalab]='1',Coagulation,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_prothrombin_sec,number,Prothrombin Time/PT (sec),,number,0,100,,[daily_datalab]='1',Coagulation,Prothrombin time or PT.,Write the PT (seconds).,SNOMED,852471000000107 | Prothrombin time (observable entity) |,,1,1,1,1,1,,,1,,1,1,1,,,,,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_prothrombin_ratio,number,Prothrombin Intl. Normalized Ratio,,number,0,14,,[daily_datalab]='1',Coagulation,Serum INR (international normalised ratio) is a ratio of patient prothrombin time to control prothrombin time. The result is a ratio and therefore has no units.,,SNOMED,165581004 | International normalized ratio (observable entity) |,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_tqinr,number,TQ/INR,,number,,,,[daily_datalab]='1',Coagulation,Serum INR (international normalised ratio) is a ratio of patient prothrombin time to control prothrombin time. The result is a ratio and therefore has no units.,,SNOMED,165581004 | International normalized ratio (observable entity) |,,1,1,1,1,1,,1,1,1,,1,1,,,,,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_altsgpt,number,ALT/SGPT (U/L),,number,,,,[daily_datalab]='1',Liver profile,Alanine aminotransferase (ALT) also called the Serum Glutamate Pyruvate Transaminase (SGPT).,Write the ALT or SGPT (U/L).,SNOMED,1018251000000107 | Serum alanine aminotransferase level (observable entity) |,,1,1,1,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,1,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_esr,number,ESR (mm/hr),,number,,,,[daily_datalab]='1',,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_bilirubin,,Total Bilirubin (select units),,,,,,[daily_datalab]='1',Liver profile,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_bilirubin_umoll,number,Total Bilirubin (umol/L),,number,0,718,,[daily_datalab]='1',Liver profile,Total bilirubin level.,Write the Bilirubin (umol/L).,SNOMED,1026761000000106 | Total bilirubin level (observable entity) |,,1,1,1,1,1,,1,1,1,,1,1,,,,1,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_bilirubin_mgdl,number,Total Bilirubin (mg/dL),,number,0,42,,[daily_datalab]='1',Liver profile,Total bilirubin level.,Write the Bilirubin (mg/dL).,SNOMED,1026761000000106 | Total bilirubin level (observable entity) |,,1,,1,1,,,,1,,,1,1,,,,1,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_alp,number,ALP (IU/L),,number,,,,[daily_datalab]='1',Liver profile,Alkaline phosphatase (ALP) level in blood.,Write the ALP (IU/L).,SNOMED,997611000000101 | Total alkaline phosphatase level (observable entity) |,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_astsgot,number,AST/SGOT (U/L),,number,,,,[daily_datalab]='1',Liver profile,Aspartate aminotransferase (AST) also called the serum glutamic-oxaloacetic transaminase (SGOT).,Write the AST or SGOT (U/L).,SNOMED,1031101000000102 | Aspartate aminotransferase level (observable entity) |,,1,1,1,1,,,1,1,1,1,1,1,,,,,,,,,,,,,1,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_glucose,,Random glucose (select units),,,,,,[daily_datalab]='1',Other,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_glucose_mmoll,number,Random glucose (mmol/L),,number,0,148,,[daily_datalab]='1',Other,Blood glucose.,Write the blood glucose (mmol/L).,SNOMED,997671000000106 | Blood glucose level (observable entity) |,,1,1,1,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_glucose_mgdl,number,Random glucose (mg/dL),,number,0,2656,,[daily_datalab]='1',Other,,Write the blood glucose (mg/dL).,SNOMED,997671000000106 | Blood glucose level (observable entity) |,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_glucose_gl,number,Random glucose (g/L),,number,0,26.56,,[daily_datalab]='1',Other,,Write the blood glucose (g/L).,SNOMED,997671000000106 | Blood glucose level (observable entity) |,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_ggt,number,Gamma Glutamyl Transferase/GGT (U/L),,number,0,1220,,[daily_datalab]='1',Liver profile,Gamma Glutamyl Transferase or GGT level in blood.,Write the GGT (U/L).,SNOMED,1028091000000102 | Gamma-glutamyl transferase level (observable entity) |,,1,,1,1,,,1,1,1,,1,1,,,,,,,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_ureanitro,,Urea/BUN (select units),,,,,,[daily_datalab]='1',Renal profile,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_ureanitro_mmoll,number,Urea/BUN (mmol/L),,number,0,89,,[daily_datalab]='1',Renal profile,Blood urea nitrogen (BUN) also called blood urea.,Write the Urea/BUN (mmol/L).,SNOMED,1028281000000106 | Blood urea (observable entity) |,,1,1,1,1,,,1,1,1,1,1,1,,,1,,,1,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_ureanitro_mgdl,number,Urea/BUN (mg/dL),,number,0,250,,[daily_datalab]='1',Renal profile,Blood urea nitrogen (BUN) also called blood urea.,Write the Urea/BUN (mg/dL).,SNOMED,1028281000000106 | Blood urea (observable entity) |,,1,,1,1,,,,1,,1,1,1,,,1,,,1,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_ureanitro_gl,number,Urea/BUN (g/L),,number,0,10,,[daily_datalab]='1',Renal profile,,Write the Urea/BUN (g/L).,SNOMED,1028281000000106 | Blood urea (observable entity) |,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
daily,"LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. In general, do not report results that have been rejected by the clinical team (e.g. haemolysed sample). Unless otherwise specified, if there are multiple measurements please report the measure furthest from from the normal physiological or laboratory range between 00:00 and 24:00 hours on day of assessment. If any individual test was not performed indicate 'No' or if the result is unavailable, please leave the data field blank.",labs_lactate,number,Lactate (select units),,number,,,,[daily_datalab]='1',Blood gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
